firstname;derived_gender
tira;female
vila;male
ludovic;male
grama;undetermined
pintea;undetermined
teofil;male
viorel;male
samoil;male
sivu;male
ambrozie;male
andrei;male
rupa;male
sosef;male
sebina;male
iroftei;undetermined
lacatusi;undetermined
dionise;male
carol;male
rudolf;male
rapa;female
iuja;female
edelca;female
rafira;female
tereza;female
raveica;female
rinca;female
marie;female
iustina;female
emilia;female
sofronia;female
finica;female
savu;male
octavian;male
liviu;undetermined
pascu;undetermined
mihail;male
nlae;male
dionisie;undetermined
danila;male
patru;male
aurelia;female
istina;female
chiva;female
livia;female
angelica;female
rusanda;female
veta;female
rafila;female
olimpia;female
viorica;female
cruci;female
rusalina;female
irmie;male
david;male
gafia;female
lajos;male
aron;male
trifan;male
drumas;male
mariac;female
elna;female
rusalim;male
lazar;male
cornea;male
martin;male
stesan;male
moise;male
adam;male
marcu;male
cancea;undetermined
ionel;male
pastiu;undetermined
roza;female
floare;female
ruja;female
elisab;female
dochia;female
fimia;female
sorita;female
saveta;female
romica;male
rosianu;undetermined
aristica;undetermined
solomia;female
alexe;male
militus;male
diamant;female
badea;male
bartolomei;undetermined
grigori;male
augustina;female
veronica;female
valerica;female
vergica;female
anania;female
jilica;female
lucia;female
lucica;female
filofteia;female
angela;female
leontina;female
lenuta;female
verginia;female
aristita;female
pantelimon;male
vergina;female
pantel;male
sacina;female
parasch;female
mirea;male
barbu;male
matei;male
salomeia;female
scumpia;female
marinca;female
bala;female
eda;female
idna;female
leanca;female
lixandra;female
aurelian;male
bumitru;male
speranta;female
paraschva;female
catalina;female
antemia;female
filoreta;female
polestina;female
dumitra;female
sanda;female
marica;female
marinos;female
sevast;female
iulian;male
milica;male
grig;male
filip;male
cons;male
pompilica;undetermined
valerian;male
perisor;male
simion;male
valea;male
consc;male
atelian;male
elisab;female
zana;female
solomita;male
ciurea;undetermined
ciubica;undetermined
carp;undetermined
mihaiu;male
frosa;female
siminica;undetermined
cretu;male
lazar;male
gramaduta;undetermined
vintila;male
ghiorghe;male
maracine;undetermined
teodor;male
ghiorghe;male
polifrone;undetermined
trandafir;male
trifon;male
valerian;male
firicel;undetermined
filiasi;undetermined
pricopie;undetermined
fanica;female
valian;undetermined
jandarica;undetermined
varvara;female
eleonora;female
tica;female
medona;female
dina;female
lorita;female
filomita;female
rozeta;female
campina;female
jugoslavia;female
frosa;female
fanica;female
tomica;female
anghelina;female
biblica;female
stan;male
ilarion;undetermined
sandu;male
morarus;undetermined
manut;undetermined
gheorghe;male
rad;female
ovreiu;female
magdalena;female
safta;female
marghioala;female
alexandrina;female
pelina;female
busnioc;undetermined
angeluta;undetermined
misu;male
fanca;undetermined
tomita;female
vica;undetermined
tatomir;undetermined
meraras;undetermined
fagaras;male
marcea;undetermined
bacea;undetermined
jeane;undetermined
dan;male
cosma;undetermined
gestica;undetermined
ionita;male
ciuca;undetermined
ionica;female
jane;female
mararas;undetermined
dinu;male
flores;undetermined
campeanu;undetermined
petrica;female
cornel;male
nicu;male
geanta;female
valara;female
antoneta;female
velica;female
ioanuta;female
ar?ln?ra;female
lamala;female
brumarica;female
garia;female
oradea;female
scrumb?a;female
diamanta;female
cravidina;female
gana;female
medianca;female
tanta;female
bomboana;female
poline;female
sabina;female
ioleana;female
vritrana;female
mariuta;female
gheorgeta;female
duda;female
alexandra;female
argesanca;female
zavei?anca;female
ponina;female
rublita;female
marin;male
rudareanu;male
ianta;male
stoican;male
petrache;male
nita;female
calin;male
trinca;male
cala;male
calonfir;male
finaca;female
rusu;undetermined
rusu;undetermined
iosoas;male
stele;female
poaia;male
pavel;male
afrim;male
smarandache;male
lonita;male
zoe;female
nitu;male
ferariu;male
damian;male
veri??;female
eufrosina;female
aristica;undetermined
oprea;undetermined
erna;female
marta;female
vestina;female
racoarea;female
restita;female
fima;female
paunica;female
migdala;undetermined
tandica;undetermined
milidon;undetermined
stanca;female
nitu;male
tiberiade;undetermined
nicolae;male
lorentz;undetermined
filon;undetermined
petruta;female
stelian;male
poloafra;undetermined
filip;male
marin;male
elena;female
iliuta;undetermined
maria;female
radu;male
lina;female
aurica;female
ciupagea;undetermined
atanase;male
benone;male
tanase;male
sandi;undetermined
veriga;undetermined
elisaveta;female
launa;undetermined
neagu;undetermined
macris;undetermined
necolae;undetermined
stelian;male
mihai;male
coto;undetermined
dudoi;undetermined
firu;male
biancu;undetermined
costica;male
mircea;male
neculae;male
ghinea;male
stirbu;male
nelu;male
zamfir;male
ierimia;undetermined
vilson;undetermined
feraru;male
anita;female
meluta;undetermined
anuica;female
zota;undetermined
irina;female
stoica;male
anasta;undetermined
marta;female
zaharia;male
dobrita;female
frustna;undetermined
marita;female
genica;female
despa;female
ciortan;undetermined
nan;female
puiu;undetermined
joita;female
jenica;female
viroana;undetermined
steltan;undetermined
stela;female
ursu;undetermined
sorica;female
ancuta;female
manu;male
polujan;undetermined
marian;female
dezideriu;male
bela;male
milian;male
barbara;female
arpad;male
ilancu;male
danita;female
neamtu;male
pampi;male
gioca;male
ricu;male
costolan;male
brancu;male
orasan;male
ciurar;male
milos;male
dezieriu;male
arsa;male
creata;female
persida;female
traila;male
hozu;male
mutiu;male
costa;undetermined
iosita;female
pica;undetermined
brait;undetermined
anastasia;female
rocusi;male
firov;male
ilena;female
brandusa;female
vichente;female
liza;female
catia;female
gurdi;female
madona;female
lena;female
mati;undetermined
vioara;female
rozina;female
tuta;female
blidar;male
sinca;female
giula;female
sava;undetermined
zina;female
osana;male
granciu;male
prosana;female
filimon;male
hicu;male
ranco;male
orasana;female
uta;female
terezia;female
etelca;female
catita;female
erji;female
luta;female
novac;male
giuvita;female
catarina;female
blagoe;male
antoniu;male
milivoi;male
horia;male
ivan;male
etel;female
mura;female
sima;male
erghici;undetermined
goanta;undetermined
zlata;undetermined
gheorghina;female
teoder;male
neacsa;undetermined
tudose;undetermined
grafian;undetermined
raducan;male
aldea;undetermined
ion;male
craciun;male
matei;male
restea;male
mitica;male
margarit;female
nicolina;female
drana;undetermined
siminoc;male
state;male
mozosach;undetermined
ionita;male
bratu;male
valer;male
chirciu;undetermined
nicolaie;male
guda;undetermined
anca;female
gheoghe;male
rafail;undetermined
arghir;undetermined
ichim;undetermined
ibris;undetermined
leona;female
d-tri;undetermined
deu;undetermined
ariclia;female
agripina;female
jupuneasa;female
luci;female
lucie;female
ichira;female
constanda;female
salomia;female
ilcone;female
stamate;male
mircea;male
titu;male
jecu;undetermined
zisu;male
bascu;undetermined
leonte;undetermined
ruse;undetermined
pipina;undetermined
culina;female
ivancea;male
nastase;female
tanase;male
lucian;male
stere;male
stelus;undetermined
augusta;female
jupaneasa;female
motelica;female
stoiana;female
panita;female
mladina;female
doda;female
pena;female
banica;male
lupu;male
stoian;male
marcu;male
eremia;female
ivanciu;undetermined
stoian;male
vaicu;male
ghita;male
sterea;undetermined
maciu;undetermined
neata;undetermined
tanascu;undetermined
enache;male
petre;male
doicu;undetermined
spiridon;male
zlate;undetermined
tud;female
scolana;female
malora;female
joita;female
eliza;female
stefana;female
serbana;female
tasica;female
pavelina;female
ilina;female
nuta;female
talia;female
postolache;male
simonu;male
amet;male
ismail;male
ali;male
demir;male
asan;male
dudu;female
hesma;female
aise;female
rabis;female
azis;undetermined
gurita;female
nica;male
emilian;male
ene;male
iordan;male
casandra;female
magdalina;female
milana;female
avadanai;male
bodea;male
vanea;male
colea;male
vastina;female
masiae;undetermined
valita;female
vera;female
cirisante;undetermined
chiodoreanu;female
sadoveanu;undetermined
giurea;undetermined
zeonova;undetermined
petri;undetermined
clara;female
polxenia;female
mandache;undetermined
slabu;undetermined
teleman;undetermined
carulea;undetermined
joseta;female
aretina;undetermined
silvia;female
patria;female
moise;male
marcela;female
darina;female
ontena;female
gmia;undetermined
sandel;undetermined
serban;male
iasua;undetermined
zlat;undetermined
racovita;undetermined
v-le;male
maricica;female
mitrita;undetermined
boris;male
eftia;undetermined
pandica;undetermined
dumitru;male
zanfira;female
cost;male
stefan-ieia;male
lola;female
cornelia;female
liubita;undetermined
gusti;male
regina;female
iuna;male
iona;female
baltezan;male
imre;undetermined
ghizele;female
jenica;female
alister;undetermined
gabor;undetermined
adela;female
manole;male
nicolai;male
florin;undetermined
sofica;female
gustea;undetermined
tilea;female
hareta;female
bercan;female
florian;male
julca;undetermined
fifica;undetermined
juleanca;female
langos;undetermined
matilda;female
pavelica;female
meila;female
righila;undetermined
zoiza;undetermined
mielu;male
muntean;undetermined
tanti;undetermined
ilia;undetermined
ermina;female
mihaila;female
rachila;female
mileva;female
suzana;female
frida;female
icoana;female
eduard;male
andrian;male
zora;undetermined
mehmed;undetermined
paraschiv;male
samson;male
trandafira;female
dora;female
aurora;female
zarafica;female
darinca;female
elisaveta;female
euforsina;female
nina;female
calina;female
petria;female
iconia;female
solomeia;female
mariti;female
romanita;female
niculaie;male
nasta;female
persa;undetermined
laza;undetermined
mitru;undetermined
gheza;undetermined
mitra;female
timofte;undetermined
serghei;male
alexei;male
gavril;male
tatiana;female
nechita;female
feodor;undetermined
neculas;male
nedejdea;undetermined
efimia;female
evdochia;female
parasca;female
parascovia;female
terente;undetermined
nastea;female
simian;male
nadejdea;female
irimia;male
haralambie;male
alxandra;female
uliana;female
nalita;female
marfa;female
tudosia;female
darabaneasa;female
balai;male
zavestia;female
sina;female
zevastia;female
zenovia;female
aanasie;male
luiba;female
onisim;male
ipate;male
iulia;female
tamara;female
serghe;male
hechita;male
anisea;female
gropina;female
agafia;female
zenobia;female
axinia;female
culina;female
antonia;female
turea;female
claudi;female
iulie;female
sevastia;female
dumineca;female
lucheria;female
atanasie;male
blane;male
duncea;male
emanoil;male
macedon;male
fanase;male
vasilr;male
atanase;male
ceavurochi;male
aganasa;male
macsiu;male
vicor;male
moisie;male
ziota;female
vasil;male
zalda;female
dedusia;female
leon;male
raisa;female
anastas;male
maftei;male
daria;female
erofei;male
braschiva;female
teodosia;female
prucalea;male
isai;male
vladmir;male
trofim;male
filat;male
iustin;male
nichifor;male
policarp;male
anastase;male
evdochin;male
gheorge;male
alea;female
ascena;female
eusofina;female
filistra;female
eftimia;female
rusiana;female
lipovanca;female
astianca;female
hristina;female
antonina;female
zonea;female
claudea;female
serafima;female
catiuta;female
tania;female
luibovi;female
dochita;female
vasilita;female
nistor;male
toader;male
simionov;undetermined
eufrosin;undetermined
raveca;female
iuliu;undetermined
zoltan;male
albert;undetermined
bazil;undetermined
geza;undetermined
adalbert;undetermined
ernestin;undetermined
gizela;female
reghina;female
ignatiu;undetermined
laszlo;undetermined
samoila;male
agneta;female
laurantiu;undetermined
gizele;female
semoil;undetermined
biri;female
stelca;female
emma;female
gavrila;male
miron;male
saruta;undetermined
salvina;female
bavita;undetermined
pitiu;undetermined
livie;undetermined
culita;female
hani;undetermined
dafina;female
elvira;female
taluca;female
nati;female
cica;female
itoie;female
rafa;female
valria;female
silia;female
lula;female
samu;male
nonu;male
marisca;female
neta;female
ghiza;female
anuta;female
patrau;male
albu;male
andronache;male
predica;male
mirica;male
eugen;male
romulus;male
artina;female
atena;female
filosela;female
ecater;female
pokina;female
margarina;female
rita;female
lacuza;female
beschi;female
mariasca;female
ilarie;male
iuseim;male
ioja;undetermined
damien;undetermined
mitache;undetermined
sasu;undetermined
magiaru;undetermined
n-lai;male
bumbu;male
marghiaola;female
vle;male
pavina;female
lucretie;female
vetgica;male
conat;male
coman;undetermined
rizu;undetermined
sava;undetermined
lupu;male
aurelea;female
lozi;male
benedic;male
marghita;female
andronica;female
zorinca;female
crucea;female
coasna;female
telca;female
taut;male
ranicu;male
streja;male
anderi;undetermined
jeni;undetermined
emeric;male
gheorghiu;undetermined
onoriu;undetermined
nicolas;undetermined
divia;female
arionu;male
campu;male
grozma;male
emie;undetermined
karol;undetermined
moldovan;undetermined
gevelie;undetermined
vida;undetermined
ruta;female
nan;female
mina;female
florita;undetermined
coloman;male
stanita;undetermined
mariza;undetermined
giza;female
rosa;undetermined
vilmos;undetermined
marton;undetermined
jonel;male
valentin;male
graciun;undetermined
coserea;undetermined
nae;male
toni;undetermined
frit;male
letitia;female
dorina;female
frosina;female
otilia;female
katita;female
irma;female
istera;female
rodica;female
crucitia;female
iascu;female
rut;male
romului;male
faur;male
grancea;male
jafi;female
valeriac;female
vesta;female
mia;female
loti;female
ida;female
fita;male
visalon;male
herman;male
iosefina;female
grigorie;male
baiche;undetermined
naita;male
picu;female
caizar;undetermined
mitu;male
mares;undetermined
licea;female
gilord;undetermined
salisan;undetermined
vergil;undetermined
babi;undetermined
lastarica;undetermined
petrolian;undetermined
avrinte;undetermined
ovrigean;undetermined
gicu;male
tarmigan;undetermined
balteanu;undetermined
neagoe;undetermined
cutui;undetermined
luciana;female
polonica;female
argintina;female
norvegia;female
stradusta;female
lisandrina;female
lacusteanca;female
genoveza;female
studianta;female
irineta;female
lepadata;female
fineta;female
sonia;female
lizica;female
violeta;female
gheorgita;female
nola;female
argentina;female
alempe;female
ditoria;female
frusinica;female
hozia;female
olteanca;female
florentina;female
casiana;female
virgina;female
zmaranda;female
tibere;undetermined
chitina;male
sever;male
ispas;male
sache;male
adrian;male
alion;male
radian;undetermined
aristotel;male
frumuseanu;male
vintila;male
petrisor;male
simineca;male
basarab;undetermined
anicuta;female
agrita;female
campira;female
gusta;female
pompilica;undetermined
evanghelita;female
leganica;female
axina;female
natalita;female
lamaita;female
doarta;female
zaharna;female
buduna;female
lisabeta;female
gamela;female
alexandru-virgil;undetermined
traian-sima;undetermined
diamant;female
valica;female
timila;female
saftica;female
dohita;female
midianca;female
spereanta;female
ilenuta;female
titia;female
cirnelia;female
zenchea;female
elane;female
vict;female
virg;female
ena;female
efrim;undetermined
anisoara;female
mioara;female
mircel;male
aristica;undetermined
potolnita;male
vetu?a;male
visarios;male
nutu;male
sevastian;male
pant;male
pompiliu;male
liu;male
manafie;male
salcin;male
trocan;male
bratianu;male
pana;male
sabin;male
martilica;male
visarior;male
marcel;undetermined
ciucurel;undetermined
birta;female
miculita;female
titina;female
angele;female
agripa;female
mirluta;female
doina;female
genoveva;female
dofina;female
voichita;female
balasa;female
ghriorghe;male
iosda;male
octavia;female
marite;female
frasana;female
tia;female
arseneta;female
corina;female
migeanca;female
armeanca;female
aftimie;female
gherasie;undetermined
chirita;undetermined
constanti;male
pantelinon;undetermined
abghel;male
fota;undetermined
victor;male
tafian;undetermined
fondor;undetermined
sabi;undetermined
martian;male
miron;male
alexiis;undetermined
sibian;undetermined
daimian;male
covrijan;undetermined
pelin;undetermined
teofil;male
milica;male
melente;undetermined
andronic;undetermined
emilian;male
lilica;female
perian;undetermined
camfer;undetermined
anghelnuta;undetermined
patrian;undetermined
miristean;undetermined
liodor;undetermined
ghioerghe;male
argintar;undetermined
ghiroghe;male
por??bita;female
igula;female
cinisoara;female
victorita;female
elene;female
lisaveta;female
melentina;female
linca;female
lilisoara;female
anglia;female
palestina;female
minodora;female
eftimie;female
leontin;female
scumpita;female
pomita;female
gheorgeanca;female
lilioara;female
ilimpia;female
vergilia;female
irnia;female
ghiorghita;female
visarion;undetermined
nicolai;male
clenci;undetermined
ghiocel;undetermined
ilariu;undetermined
gilica;undetermined
alexe;male
ioan;male
luica;female
vicotrita;female
vitorita;female
vasilina;female
brebene;female
orovel;male
veligeana;undetermined
angheluta;female
mararasi;undetermined
fotoianu;undetermined
marasel;undetermined
fanel;undetermined
minel;undetermined
marcusan;undetermined
andras;undetermined
elies;undetermined
patrineanu;undetermined
fortomita;undetermined
m?liean;undetermined
denef;undetermined
iona;female
ctucarel;undetermined
eleoderu;undetermined
rafaila;undetermined
iulica;female
farica;female
ansastasia;female
sucorina;female
mermelita;female
salvia;female
victorina;female
vaslica;female
marghoala;female
viena;female
sabin;male
petrata;female
gogeta;female
ivana;female
manda;female
munica;male
iorea;male
zaila;male
gledeal;male
cuciu;male
buruiana;male
terariu;male
fistoganu;male
lisandra;female
ruda;female
mastica;female
ranata;female
aritina;female
petra;female
pelirata;female
ridana;female
luna;female
joia;female
cuplea;female
rozota;female
tulina;undetermined
bechir;undetermined
lamaia;female
pantica;female
georgete;female
rozica;female
tena;female
minica;female
vastica;female
valceanca;female
constacioara;female
arhila;female
argitina;female
catina;female
modina;female
preda;male
giurca;undetermined
stancu;male
gulan;undetermined
costel;undetermined
nicusor;undetermined
ianosi;undetermined
agapia;female
norica;female
mandica;female
spiru;undetermined
augustel;undetermined
ostroveanu;undetermined
busuioc;male
paul;undetermined
jandaru;undetermined
brosovan;undetermined
rezan;undetermined
vlaicu;undetermined
gridina;undetermined
costelia;undetermined
siberia;undetermined
doljan;undetermined
visica;undetermined
miu;male
cati;female
gelu;undetermined
serdaru;male
fira;female
gela;undetermined
deola;undetermined
lilica;female
oprea;undetermined
ian?cu;undetermined
modila;undetermined
cezar;undetermined
florina;undetermined
gheorgeh;male
ferdinant;male
guciu;male
fieraru;male
lache;male
ghinda;male
sfarlea;male
dinca;male
gridan;male
efrim;undetermined
mosu;male
mitrica;male
tomache;male
vergil;undetermined
lucan;male
luncan;undetermined
zorila;male
bala;female
almajanu;undetermined
pitulici;undetermined
dragomir;female
margelu;undetermined
ciupala;female
ploesteanca;female
bratilia;female
zambila;female
valca;female
oprica;female
ghira;female
rupina;female
bancuta;female
fulga;female
sanica;female
ghita;male
antrica;female
marieta;female
antofica;female
felicia;female
zinca;female
filoteia;female
towa;undetermined
iadea;undetermined
sabinia;undetermined
oriam;undetermined
fraughita;female
filoftia;female
marca;female
grigorita;female
ghiroghita;female
lixandrina;female
zinica;female
oprea;undetermined
obe;male
chirica;undetermined
vastase;undetermined
ioita;female
codnia;female
joda;female
bia;female
persidia;female
cruce;male
badita;female
ioji;undetermined
biza;female
hondrea;male
bo??onel;undetermined
vochita;female
bujor;undetermined
lina;female
jeana;female
comisie;undetermined
schiopu;undetermined
ristea;male
nanu;undetermined
bica;female
vocnicila;undetermined
pencea;undetermined
bana;undetermined
pertia;female
stelica;female
bradan;undetermined
alexan;undetermined
craciuna;female
sevasta;female
milea;undetermined
stefa;male
stoian;male
voicu;male
barbu;male
grofina;female
gheorgheta;female
tatina;female
zoia;female
fotina;female
gherghita;female
dana;female
vaduva;male
minca;male
serban;male
nita;female
cretu;male
manolache;male
tramandau;male
bunea;male
porici;male
dragan;male
cenac;male
dobri;male
cristache;male
carjan;undetermined
didita;undetermined
tarlea;undetermined
sarbu;undetermined
ancuta;female
vasilica;female
filonta;female
nartaria;female
leonara;female
stafana;female
andriana;female
litica;female
sita;female
leonida;male
dumitras;female
marghiorla;female
georythek;female
vasila;female
vasila;female
cristel;undetermined
sefan;undetermined
auerl;undetermined
gherghiu;undetermined
drosu;undetermined
dobnau;undetermined
gorgeta;undetermined
titi;undetermined
imperia;undetermined
hermine;undetermined
mana;female
jean;undetermined
todor;undetermined
mprin;male
adriana;female
steria;undetermined
dumitrache;undetermined
ancicuta;undetermined
dumitra;female
draghici;undetermined
jon;male
niculuna;female
rudaru;undetermined
dtiu;male
iliu;male
nle;male
oana;undetermined
darmaz;undetermined
socol;undetermined
paulica;undetermined
pandele;female
mahulea;undetermined
justin;undetermined
arglura;female
mariu;undetermined
heana;female
flica;female
erotei;female
chinae;male
sahoi;male
dunare;male
nedelcu;male
berechet;male
marius;male
sterica;male
mica;undetermined
sana;undetermined
pauline;female
alexandre;undetermined
iorta;undetermined
niclaie;undetermined
zahoi;undetermined
mariu;undetermined
joana;female
gogu;male
cecilia;female
cata;undetermined
enciu;undetermined
piligani;undetermined
fronea;female
spirea;male
gruia;female
aughel;male
parvu;male
chiva;female
pucean;undetermined
niculaie;male
ogaru;undetermined
moraru;undetermined
vasiu;undetermined
cioclu;undetermined
visan;undetermined
maghiran;undetermined
geta;female
stefania;female
ivan;male
sofica;female
angela;female
dima;undetermined
vien;undetermined
oprova;undetermined
agata;undetermined
rebeica;undetermined
sebasta;undetermined
pepina;female
softa;undetermined
anice;female
rizina;female
sora;undetermined
smoranda;undetermined
amton;undetermined
istudor;undetermined
manea;male
macare;undetermined
macarie;undetermined
murat;undetermined
christache;male
vasilie;male
sida;female
adelia;female
hanti;male
sebastian;male
roman;male
borcea;female
nae;male
valer;male
garoafa;female
memet;male
iasrar;male
regeb;male
musta;male
ionica;female
ali;male
mamut;male
iasar;female
lip;undetermined
ismen;male
mustan;undetermined
dobrin;undetermined
buran;undetermined
ignat;undetermined
tinor;undetermined
sterian;undetermined
zaharagiu;undetermined
zausila;undetermined
istrate;male
pintilie;undetermined
sercaianu;undetermined
caraivan;undetermined
magheru;undetermined
salica;undetermined
theodor;undetermined
cost;male
giurgea;undetermined
chirila;female
dimitrie;undetermined
baciu;male
maranda;female
zonia;female
onorina;female
listina;female
aurice;female
bibilica;female
papusa;female
dobrin;undetermined
bulmadar;male
iosub;male
raducan;male
ruptas;male
majoru;male
maradin;male
bongaci;male
ciobotaru;undetermined
eni;male
grigora;male
feraru;male
dobrin;undetermined
grigorina;female
iftica;female
ciobotaru;undetermined
stf;undetermined
silva;female
baltezan;male
coriolan;undetermined
frant;male
poju;male
dumtru;male
teofil-;male
constantine;male
granciu;male
miti;undetermined
creciun;undetermined
alberina;female
androni;undetermined
scarlat;undetermined
ortensia;female
petcu;undetermined
mitita;male
arhir;male
becu;male
dulina;undetermined
marchida;undetermined
verona;female
neculina;female
ameta;female
cesiaca;female
simina;female
petrea;female
adama;female
savastita;female
danica;female
petia;female
fkoarea;female
miroea;female
eliszabeta;female
gheorgh;male
ioa;undetermined
manola;undetermined
janica;male
ilona;female
pachita;undetermined
mandacho;undetermined
coatache;male
anghel;male
n-ale;male
vastile;male
gheorgha;male
gheorghs;undetermined
magarita;female
firodora;female
margarinta;female
savata;female
nicano;female
reveica;female
ctinca;female
ravrita;female
raruca;female
tandil;undetermined
averescu;undetermined
moisa;male
haralambrie;undetermined
jemita;undetermined
divina;undetermined
emilie;undetermined
marinas;undetermined
zenica;female
leventia;female
melana;female
corlet;male
stela;female
alecu;male
marghidan;male
hoancea;undetermined
ghirghe;male
avadanei;undetermined
tacu;undetermined
sabeta;female
varginica;female
maroa;female
iliana;female
parafil;undetermined
rosalia;female
rudi;male
zanfir;female
jurca;undetermined
pelaghia;female
ianos;male
iovita;undetermined
tiberie;male
mailita;female
domnita;female
draghina;female
tina;female
jiva;undetermined
floria;male
lae;undetermined
artenie;undetermined
manica;undetermined
maxim;female
procopie;undetermined
anatolia;undetermined
chilina;female
sarghie;undetermined
ghe;male
vdtru;undetermined
parfenie;undetermined
crucanu;undetermined
onofrei;male
xenofon;undetermined
afanase;undetermined
leonid;undetermined
timofei;male
dtm;undetermined
andor;undetermined
elexei;undetermined
niclufor;undetermined
irna;female
dachuta;female
jana;female
vasalca;female
nicluta;undetermined
aidor;undetermined
loghui;undetermined
procopier;undetermined
efreim;undetermined
victr;undetermined
isidor;undetermined
chiril;undetermined
feodosiu;undetermined
haritina;female
varugra;female
anna;female
nadejdia;female
nichita;undetermined
panait;male
foca;undetermined
plat;undetermined
isac;undetermined
zurar;undetermined
terenti;undetermined
cavril;undetermined
darie;undetermined
octav;undetermined
remus;undetermined
miza;undetermined
lacatus;undetermined
haza;undetermined
doroftei;undetermined
miczi;undetermined
blaziuz;undetermined
maxin;undetermined
sugismund;undetermined
meisa;undetermined
dominic;undetermined
milanius;undetermined
iulius;undetermined
ilanda;female
eloarea;female
estera;female
hinta;female
mandra;female
canta;female
laura;female
bombonica;female
ardelean;undetermined
zaharias;undetermined
zacheu;undetermined
ioachim;undetermined
corvin;undetermined
gruita;undetermined
romus;undetermined
greti;undetermined
ciupi;undetermined
raitan;male
tiberiu;male
ciotoc;undetermined
cuta;male
steian;male
ferdinand;undetermined
ladislau;undetermined
susena;female
minerva;female
pitira;female
mezinca;female
sanziana;female
scumpina;female
subita;female
coroana;female
neli;female
corneli;female
justina;female
salv;female
virorica;female
medaca;female
mariuca;female
alexand;male
viliam;male
aflat;male
pitu;male
serafim;female
costic;male
bazilic;undetermined
ernest;undetermined
laslo;undetermined
iul;female
scump;female
matrona;female
oprita;female
rosmal;female
rozal;female
mari;female
roz;female
vior;female
leorinta;female
laurentiu;undetermined
iani;undetermined
daian;undetermined
samioila;male
arpas;male
barna;male
fila;female
clari;female
elenea;female
cracium;undetermined
mitri;undetermined
mendi;undetermined
